GenerationFileの情報,エージェントID,発生時刻1,発生時刻2,到着時刻1,到着時刻2,移動時間1,移動時間2
TIMEEVERY SEAT_1F_LL15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00542,18:00:00,0,18:02:04,124,00:02:04,124
TIMEEVERY SEAT_1F_LL17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00623,18:00:00,0,18:02:05,125,00:02:05,125
TIMEEVERY SEAT_1F_LL15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00539,18:00:00,0,18:02:06,126,00:02:06,126
TIMEEVERY SEAT_1F_LL17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00621,18:00:00,0,18:02:07,127,00:02:07,127
TIMEEVERY SEAT_1F_LL14 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00499,18:00:00,0,18:02:08,128,00:02:08,128
TIMEEVERY SEAT_1F_LL18 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00663,18:00:00,0,18:02:09,129,00:02:09,129
TIMEEVERY SEAT_1F_LL13 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00462,18:00:00,0,18:02:10,130,00:02:10,130
TIMEEVERY SEAT_1F_LL15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00538,18:00:00,0,18:02:10,130,00:02:10,130
TIMEEVERY SEAT_1F_LL08 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00261,18:00:00,0,18:02:11,131,00:02:11,131
TIMEEVERY SEAT_1F_LL19 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00704,18:00:00,0,18:02:12,132,00:02:12,132
TIMEEVERY SEAT_1F_LL06 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00178,18:00:00,0,18:02:13,133,00:02:13,133
TIMEEVERY SEAT_1F_LL15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00540,18:00:00,0,18:02:14,134,00:02:14,134
TIMEEVERY SEAT_1F_LL09 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00302,18:00:00,0,18:02:14,134,00:02:14,134
TIMEEVERY SEAT_1F_LL05 18:00:00 18:00:00 1 1 4 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00140,18:00:00,0,18:02:15,135,00:02:15,135
TIMEEVERY SEAT_1F_LL08 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00262,18:00:00,0,18:02:16,136,00:02:16,136
TIMEEVERY SEAT_1F_LL16 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00580,18:00:00,0,18:02:16,136,00:02:16,136
TIMEEVERY SEAT_1F_LL06 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00180,18:00:00,0,18:02:17,137,00:02:17,137
TIMEEVERY SEAT_1F_LL17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00622,18:00:00,0,18:02:18,138,00:02:18,138
TIMEEVERY SEAT_1F_LL07 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00222,18:00:00,0,18:02:19,139,00:02:19,139
TIMEEVERY SEAT_1F_LL04 18:00:00 18:00:00 1 1 4 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00103,18:00:00,0,18:02:19,139,00:02:19,139
TIMEEVERY SEAT_1F_LL14 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00502,18:00:00,0,18:02:20,140,00:02:20,140
TIMEEVERY SEAT_1F_LL10 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00341,18:00:00,0,18:02:21,141,00:02:21,141
TIMEEVERY SEAT_1F_LL07 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00220,18:00:00,0,18:02:22,142,00:02:22,142
TIMEEVERY SEAT_1F_LL08 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00259,18:00:00,0,18:02:22,142,00:02:22,142
TIMEEVERY SEAT_1F_LL05 18:00:00 18:00:00 1 1 4 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00142,18:00:00,0,18:02:23,143,00:02:23,143
TIMEEVERY SEAT_1F_LL06 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00182,18:00:00,0,18:02:24,144,00:02:24,144
TIMEEVERY SEAT_1F_CL15 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00552,18:00:00,0,18:02:24,144,00:02:24,144
TIMEEVERY SEAT_1F_CL14 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00513,18:00:00,0,18:02:25,145,00:02:25,145
TIMEEVERY SEAT_1F_LL17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00625,18:00:00,0,18:02:26,146,00:02:26,146
TIMEEVERY SEAT_1F_LL15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00541,18:00:00,0,18:02:26,146,00:02:26,146
TIMEEVERY SEAT_1F_LL08 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00258,18:00:00,0,18:02:27,147,00:02:27,147
