lambda,mu,total_events,ignored_events,simulated_mean,theoretical_mean,absolute_error
3.0,5.0,110,10,1.240451329484545,1.5,0.25954867051545505
3.0,5.0,1100,100,2.0638583713028735,1.5,0.5638583713028735
3.0,5.0,11000,1000,1.433904319905988,1.5,0.06609568009401201
3.0,5.0,110000,10000,1.4855185041448784,1.5,0.014481495855121596
3.0,5.0,1100000,100000,1.4971766555115107,1.5,0.00282334448848931
3.0,5.0,11000000,1000000,1.5019313708987323,1.5,0.0019313708987322986
4.0,5.0,110,10,2.232293882552604,4.0,1.7677061174473958
4.0,5.0,1100,100,2.839094613891235,4.0,1.160905386108765
4.0,5.0,11000,1000,4.165788750747099,4.0,0.1657887507470992
4.0,5.0,110000,10000,3.9373802481597133,4.0,0.06261975184028667
4.0,5.0,1100000,100000,3.978423416621185,4.0,0.021576583378815073
4.0,5.0,11000000,1000000,3.985154393110686,4.0,0.014845606889314134
4.5,5.0,110,10,3.356916380494547,9.0,5.643083619505453
4.5,5.0,1100,100,16.54215232376747,9.0,7.542152323767471
4.5,5.0,11000,1000,10.439814508476292,9.0,1.4398145084762923
4.5,5.0,110000,10000,9.232632282478408,9.0,0.2326322824784075
4.5,5.0,1100000,100000,8.902941422096173,9.0,0.09705857790382666
4.5,5.0,11000000,1000000,8.993430545783966,9.0,0.006569454216034387
4.9,5.0,110,10,7.564043415309879,49.00000000000018,41.4359565846903
4.9,5.0,1100,100,14.123416748093753,49.00000000000018,34.876583251906425
4.9,5.0,11000,1000,41.65636964869189,49.00000000000018,7.343630351308285
4.9,5.0,110000,10000,44.9363141710666,49.00000000000018,4.063685828933579
4.9,5.0,1100000,100000,50.53482994381934,49.00000000000018,1.5348299438191617
4.9,5.0,11000000,1000000,49.429075463589655,49.00000000000018,0.4290754635894771
4.95,5.0,110,10,1.4438186318716422,99.00000000000036,97.55618136812872
4.95,5.0,1100,100,10.658354883002717,99.00000000000036,88.34164511699764
4.95,5.0,11000,1000,58.99658079788848,99.00000000000036,40.00341920211188
4.95,5.0,110000,10000,57.770231670592246,99.00000000000036,41.22976832940811
4.95,5.0,1100000,100000,92.22786306348654,99.00000000000036,6.772136936513817
4.95,5.0,11000000,1000000,105.50559340489595,99.00000000000036,6.505593404895592
5.1,5.0,110,10,2.0531448380396182,inf,nan
5.1,5.0,1100,100,17.19252728638407,inf,nan
5.1,5.0,11000,1000,104.1950924654207,inf,nan
5.1,5.0,110000,10000,542.4190444074355,inf,nan
5.1,5.0,1100000,100000,5197.837802695225,inf,nan
5.1,5.0,11000000,1000000,56658.083620061196,inf,nan
