"時間軸（2020～2023） コード","時間軸（2020～2023） 補助コード","時間軸（2020～2023）","性別_基本 コード","性別_基本 補助コード","性別_基本","地域 コード","地域 補助コード","地域","/表章項目","全学歴 所定内給与額【千円】","中学 所定内給与額【千円】","高校 所定内給与額【千円】","専門学校 所定内給与額【千円】","高専 短大 所定内給与額【千円】","大学 所定内給与額【千円】","大学院 所定内給与額【千円】"
"2023000000","","2023年","01","","男女計","00000","","全国","","224.4","185.4","186.8","214.5","214.6","237.3","276.0"
"2023000000","","2023年","01","","男女計","01000","","北海道","","216.6","-","174.5","206.9","205.2","239.4","257.1"
"2023000000","","2023年","01","","男女計","02000","","青森県","","189.7","-","173.5","184.0","192.9","214.6","271.2"
"2023000000","","2023年","01","","男女計","03000","","岩手県","","200.1","150.0","179.6","178.3","214.8","235.9","243.7"
"2023000000","","2023年","01","","男女計","04000","","宮城県","","209.3","-","184.9","219.5","180.9","218.4","308.1"
"2023000000","","2023年","01","","男女計","05000","","秋田県","","215.9","-","168.7","199.7","182.5","267.7","220.5"
"2023000000","","2023年","01","","男女計","06000","","山形県","","195.7","-","175.4","192.7","177.9","220.1","249.7"
"2023000000","","2023年","01","","男女計","07000","","福島県","","203.5","172.0","183.7","192.0","206.0","239.4","282.1"
"2023000000","","2023年","01","","男女計","08000","","茨城県","","220.2","-","185.4","198.9","204.1","236.0","261.0"
"2023000000","","2023年","01","","男女計","09000","","栃木県","","214.8","-","187.3","215.5","210.4","228.9","272.2"
"2023000000","","2023年","01","","男女計","10000","","群馬県","","215.7","-","190.8","213.9","201.4","229.1","266.5"
"2023000000","","2023年","01","","男女計","11000","","埼玉県","","228.4","-","199.3","221.1","213.3","244.9","255.0"
"2023000000","","2023年","01","","男女計","12000","","千葉県","","227.5","-","190.6","231.5","226.8","236.1","247.6"
"2023000000","","2023年","01","","男女計","13000","","東京都","","238.8","-","187.2","228.3","233.1","244.5","275.1"
"2023000000","","2023年","01","","男女計","14000","","神奈川県","","242.2","-","201.4","222.0","235.1","242.7","328.1"
"2023000000","","2023年","01","","男女計","15000","","新潟県","","201.3","-","175.7","209.3","195.1","215.8","242.2"
"2023000000","","2023年","01","","男女計","16000","","富山県","","209.0","-","187.1","197.3","193.5","231.6","244.9"
"2023000000","","2023年","01","","男女計","17000","","石川県","","211.9","-","187.2","206.6","191.9","228.0","243.5"
"2023000000","","2023年","01","","男女計","18000","","福井県","","216.4","-","186.0","207.3","189.9","227.0","254.5"
"2023000000","","2023年","01","","男女計","19000","","山梨県","","207.0","-","190.0","193.5","191.1","225.4","281.1"
"2023000000","","2023年","01","","男女計","20000","","長野県","","207.1","-","183.5","191.8","203.2","228.6","258.0"
"2023000000","","2023年","01","","男女計","21000","","岐阜県","","200.8","-","180.8","200.3","204.6","207.0","255.2"
"2023000000","","2023年","01","","男女計","22000","","静岡県","","226.6","193.6","189.7","217.7","221.6","249.8","256.3"
