industry_code,industry,application_class_code,application_class,rd_sample_count,rd_expenditure_million_yen,patent_sample_count,domestic_patent_applications_2024,domestic_patent_applications_2025_forecast,domestic_patent_applications_2026_forecast,patent_examination_requests_2024,patent_examination_requests_2025_forecast,patent_examination_requests_2026_forecast,international_patent_applications_2024,international_patent_applications_2025_forecast,international_patent_applications_2026_forecast
1,建設業,0.0,,184.0,192082.0,194,3915,3845,3847,3151,3055,3123,211,255,251
2,食品製造業,0.0,,173.0,221579.0,208,1944,1742,1763,1333,1117,1106,416,362,376
3,繊維・パルプ・紙製造業,0.0,,73.0,71489.0,85,2491,2323,2384,1840,1843,1598,483,478,501
4,医薬品製造業,0.0,,71.0,1193581.0,81,697,710,633,650,640,597,336,336,309
5,化学工業,0.0,,203.0,1120659.0,229,16797,15558,14642,11239,10427,9541,5267,4695,4416
6,石油石炭・ﾌﾟﾗｽﾁｯｸ・ｺﾞﾑ・窯業,0.0,,210.0,303244.0,246,7766,7304,7249,5847,5175,5315,2449,2200,2319
7,鉄鋼・非鉄金属製造業,0.0,,66.0,430635.0,73,6156,3096,3040,4741,2441,2396,2264,1274,1273
8,金属製品製造業,0.0,,124.0,129686.0,138,2473,2033,2064,2304,1777,1826,562,494,486
9,機械製造業,0.0,,167.0,1011043.0,194,8983,8114,8098,7638,7191,6752,2918,2572,2707
10,電気機械製造業,0.0,,244.0,2025776.0,300,41559,33722,28317,30465,21829,19659,14950,11144,9339
11,輸送機械製造業,0.0,,100.0,3374874.0,121,20169,15936,16284,16229,12470,12571,3710,2096,2177
12,業務用機械器具製造業,0.0,,89.0,536731.0,108,12125,11641,11654,9486,9155,9084,1061,914,896
13,その他の製造業,0.0,,213.0,266129.0,263,14600,14305,14008,11509,11876,10799,2138,2264,2317
14,情報通信業,0.0,,314.0,354393.0,339,3025,2916,2125,4513,3585,3388,3960,2356,2154
15,卸売・小売等,0.0,,636.0,21118.0,724,617,547,368,379,320,285,57,78,63
16,その他の非製造業,0.0,,577.0,137323.0,644,23876,51402,51344,1725,1537,1506,181,146,149
17,教育・TLO・公的研究機関・公務,0.0,,392.0,3393310.0,433,8501,7652,7627,5930,5603,5687,2003,1831,1831
18,個人・その他,0.0,,,,432,229,288,115,102,128,64,21,21,22
