industry_code,industry,application_class_code,application_class,rd_sample_count,rd_expenditure_million_yen,patent_sample_count,domestic_patent_applications_2024,domestic_patent_applications_2025_forecast,domestic_patent_applications_2026_forecast,patent_examination_requests_2024,patent_examination_requests_2025_forecast,patent_examination_requests_2026_forecast,international_patent_applications_2024,international_patent_applications_2025_forecast,international_patent_applications_2026_forecast,patent_applications_per_100m_yen_rd,rd_100m_yen,log_rd,log_patents,log_predicted_patents,predicted_patents_log_model,residual_log_model
1,建設業,0.0,,184.0,192082.0,194,3915,3845,3847,3151,3055,3123,211,255,251,2.038192022157204,1920.82,5.283486669042108,3.592731766393962,3.6187256226481215,4156.479306392618,-0.025993856254159287
2,食品製造業,0.0,,173.0,221579.0,208,1944,1742,1763,1333,1117,1106,416,362,376,0.8773394590642615,2215.79,5.345528598040661,3.288696260590256,3.647802070565861,4444.286732211237,-0.35910580997560526
3,繊維・パルプ・紙製造業,0.0,,73.0,71489.0,85,2491,2323,2384,1840,1843,1598,483,478,501,3.4844521534781574,714.89,4.854239222125297,3.3963737275365067,3.41755536189768,2615.5038394961466,-0.021181634361173263
4,医薬品製造業,0.0,,71.0,1193581.0,81,697,710,633,650,640,597,336,336,309,0.0583957016742056,11935.81,6.076851896873875,2.8432327780980096,3.9905426035052756,9784.58935133319,-1.147309825407266
5,化学工業,0.0,,203.0,1120659.0,229,16797,15558,14642,11239,10427,9541,5267,4695,4416,1.498850230087832,11206.59,6.049473483292995,4.225231722214646,3.977711490266141,9499.734992924798,0.24752023194850548
6,石油石炭・ﾌﾟﾗｽﾁｯｸ・ｺﾞﾑ・窯業,0.0,,210.0,303244.0,246,7766,7304,7249,5847,5175,5315,2449,2200,2319,2.5609740011344,3032.44,5.481792216652641,3.890197386210029,3.711663108957275,5148.291262439244,0.17853427725275406
7,鉄鋼・非鉄金属製造業,0.0,,66.0,430635.0,73,6156,3096,3040,4741,2441,2396,2264,1274,1273,1.4295168762408998,4306.35,5.634109324347536,3.789298611159441,3.7830477438382215,6068.030343584525,0.006250867321219378
8,金属製品製造業,0.0,,124.0,129686.0,138,2473,2033,2064,2304,1777,1826,562,494,486,1.906913622133461,1296.86,5.112893095198045,3.3932241163612975,3.538775575235933,3457.6065737235303,-0.1455514588746354
9,機械製造業,0.0,,167.0,1011043.0,194,8983,8114,8098,7638,7191,6752,2918,2572,2707,0.8884884223519672,10110.43,6.004769626674677,3.953421399681035,3.9567606691091304,9052.336075157304,-0.0033392694280953705
10,電気機械製造業,0.0,,244.0,2025776.0,300,41559,33722,28317,30465,21829,19659,14950,11144,9339,2.0515101373498354,20257.76,6.306591421605594,4.618665088940316,4.098211875453023,12537.526831270558,0.5204532134872926
11,輸送機械製造業,0.0,,100.0,3374874.0,121,20169,15936,16284,16229,12470,12571,3710,2096,2177,0.5976223112329527,33748.74,6.528257563203724,4.304684365974386,4.202097491605522,15925.661905138355,0.10258687436886404
12,業務用機械器具製造業,0.0,,89.0,536731.0,108,12125,11641,11654,9486,9155,9084,1061,914,896,2.259045965297328,5367.31,5.72975667958019,4.083681747274301,3.8278736444474153,6727.808859674217,0.25580810282688615
13,その他の製造業,0.0,,213.0,266129.0,263,14600,14305,14008,11509,11876,10799,2138,2264,2317,5.48606127103773,2661.29,5.425092202073894,4.164352855784437,3.6850901921017645,4842.7292851685925,0.4792626636826727
14,情報通信業,0.0,,314.0,354393.0,339,3025,2916,2125,4513,3585,3388,3960,2356,2154,0.8535721642357497,3543.93,5.549485135079017,3.4807253789884878,3.743387938420108,5538.446162402132,-0.2626625594316203
15,卸売・小売等,0.0,,636.0,21118.0,724,617,547,368,379,320,285,57,78,63,2.9216781892224644,211.18,4.324652785542988,2.7902851640332416,3.169360428410266,1476.9317556858534,-0.37907526437702455
16,その他の非製造業,0.0,,577.0,137323.0,644,23876,51402,51344,1725,1537,1506,181,146,149,17.38674511917159,1373.23,5.137743282586614,4.377961570219637,3.550421814980778,3551.581744316572,0.8275397552388588
17,教育・TLO・公的研究機関・公務,0.0,,392.0,3393310.0,433,8501,7652,7627,5930,5603,5687,2003,1831,1831,0.2505223513324748,33933.1,6.5306235369629775,3.9294700161774894,4.2032063241949675,15966.374960546498,-0.27373630801747817
