date,nominal,real
1970-01-01,24.6,75.09
1970-02-01,24.61,74.66
1970-03-01,24.61,74.93
1970-04-01,24.56,75.0
1970-05-01,24.5,74.49
1970-06-01,24.49,74.37
1970-07-01,24.47,73.86
1970-08-01,24.54,73.53
1970-09-01,24.56,74.23
1970-10-01,24.58,75.11
1970-11-01,24.59,74.97
1970-12-01,24.6,75.05
1971-01-01,24.55,74.98
1971-02-01,24.58,74.79
1971-03-01,24.59,74.72
1971-04-01,24.6,75.5
1971-05-01,24.56,75.37
1971-06-01,24.6,75.32
1971-07-01,24.8,75.6
1971-08-01,24.81,75.22
1971-09-01,25.98,80.46
1971-10-01,26.44,81.93
1971-11-01,26.61,81.58
1971-12-01,27.11,82.7
1972-01-01,27.55,83.74
1972-02-01,28.12,85.31
1972-03-01,28.33,86.34
1972-04-01,28.29,86.97
1972-05-01,28.21,86.6
1972-06-01,28.45,86.92
1972-07-01,28.72,87.27
1972-08-01,28.71,87.32
1972-09-01,28.73,87.53
1972-10-01,28.82,88.23
1972-11-01,28.89,88.05
1972-12-01,28.89,88.32
1973-01-01,28.78,88.52
1973-02-01,30.5,93.78
1973-03-01,31.79,99.53
1973-04-01,31.43,99.42
1973-05-01,31.36,99.8
1973-06-01,30.87,97.74
1973-07-01,30.39,96.16
1973-08-01,30.67,96.54
1973-09-01,30.67,98.51
1973-10-01,30.46,96.96
1973-11-01,29.65,94.19
1973-12-01,29.79,96.76
1974-01-01,28.6,94.93
1974-02-01,29.01,96.93
1974-03-01,29.6,98.2
1974-04-01,29.85,100.61
1974-05-01,29.52,99.06
1974-06-01,29.29,98.27
1974-07-01,28.48,96.34
1974-08-01,27.57,93.12
1974-09-01,28.02,94.68
1974-10-01,27.89,95.54
1974-11-01,27.63,94.42
1974-12-01,27.76,94.4
1975-01-01,27.61,94.16
1975-02-01,28.18,95.47
1975-03-01,28.42,96.55
1975-04-01,28.24,96.67
1975-05-01,28.25,96.25
1975-06-01,28.13,94.98
1975-07-01,28.41,95.48
1975-08-01,28.68,95.52
1975-09-01,28.69,96.87
1975-10-01,28.4,96.63
1975-11-01,28.37,95.7
1975-12-01,28.2,94.8
1976-01-01,28.27,96.12
1976-02-01,28.59,97.28
1976-03-01,28.92,98.13
1976-04-01,29.24,100.81
1976-05-01,29.32,100.73
1976-06-01,29.4,100.71
1976-07-01,29.82,102.3
1976-08-01,30.2,102.19
1976-09-01,30.55,105.88
1976-10-01,30.21,104.63
1976-11-01,29.79,102.82
1976-12-01,29.83,103.38
1977-01-01,30.16,104.42
1977-02-01,30.86,106.42
