STATUS,200
MESSAGEID,M181000I
MESSAGE,Successfully completed
DATE,2026-07-13T14:21:02.663+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,EN
PARAMETER,DB,FM09
PARAMETER,STARTDATE,197001
PARAMETER,ENDDATE,202605
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES,UNIT,FREQUENCY,CATEGORY,LAST_UPDATE,SURVEY_DATES,VALUES
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197001,24.6
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197002,24.61
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197003,24.61
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197004,24.56
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197005,24.5
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197006,24.49
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197007,24.47
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197008,24.54
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197009,24.56
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197010,24.58
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197011,24.59
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197012,24.6
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197101,24.55
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197102,24.58
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197103,24.59
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197104,24.6
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197105,24.56
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197106,24.6
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197107,24.8
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197108,24.81
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197109,25.98
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197110,26.44
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197111,26.61
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197112,27.11
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197201,27.55
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197202,28.12
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197203,28.33
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197204,28.29
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197205,28.21
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197206,28.45
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197207,28.72
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197208,28.71
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197209,28.73
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197210,28.82
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197211,28.89
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197212,28.89
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197301,28.78
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197302,30.5
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197303,31.79
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197304,31.43
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197305,31.36
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197306,30.87
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197307,30.39
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197308,30.67
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197309,30.67
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197310,30.46
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197311,29.65
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197312,29.79
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197401,28.6
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197402,29.01
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197403,29.6
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197404,29.85
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197405,29.52
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197406,29.29
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197407,28.48
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197408,27.57
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197409,28.02
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197410,27.89
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197411,27.63
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197412,27.76
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197501,27.61
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197502,28.18
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197503,28.42
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197504,28.24
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197505,28.25
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197506,28.13
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197507,28.41
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197508,28.68
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197509,28.69
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197510,28.4
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197511,28.37
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197512,28.2
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197601,28.27
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197602,28.59
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197603,28.92
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197604,29.24
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197605,29.32
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197606,29.4
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197607,29.82
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197608,30.2
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197609,30.55
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197610,30.21
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197611,29.79
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197612,29.83
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197701,30.16
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197702,30.86
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197703,31.35
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197704,31.87
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197705,31.61
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197706,32.15
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197707,32.93
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197708,32.76
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197709,32.8
FX180110001,Nominal Effective Exchange Rate,CY 2020=100,MONTHLY,Effective Exchange Rate,20260623,197710,34.16
