t,y
1,2.3471041477
2,-3.4818806699
3,-1.7491448280
4,4.9575238424
5,1.2412440292
6,-0.6246025557
7,-1.5172010036
8,4.2064819540
9,3.1897679028
10,3.4699336740
11,4.1092906210
12,4.8848349219
13,0.6251178130
14,-3.1591261518
15,-1.6974263567
16,2.2513601242
17,2.7785992224
18,-2.7670596753
19,8.0123692015
20,3.4008523313
21,-2.3117734887
22,-3.2457092433
23,0.2278664790
24,-1.7568330559
25,-0.7213788237
26,-1.9446851613
27,1.7549571181
28,-5.1218438106
29,-4.7389523979
30,-2.2193950448
31,-0.0188254087
32,-2.4112824946
33,1.7962919478
34,-1.1602990736
35,-3.4095801847
36,-0.2694163519
37,-0.0842887195
38,3.6041381488
39,3.1214872976
40,-2.2178613273
41,1.2981528761
42,2.2269239920
43,4.4974706701
44,2.6143192094
45,-0.2090280327
46,0.9964842929
47,-0.6528986166
48,-1.8756194751
49,-4.6572864021
50,0.1856770605
